utterance,labels
ยกเลิกนาฬิกาปลุกสำหรับบ่ายนี้,cancel_alarm
ยกเลิกนาฬิกาปลุกสำหรับ 2 ทุ่มวันศุกร์,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับพรุ่งนี้เช้าตี 5:30 ,set_alarm
ปิดนาฬิกาปลุกทั้งหมด,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับ 6 โมงเช้าพรุ่งนี้,set_alarm
ปิดนาฬิกาปลุกทั้งหมด,cancel_alarm
บอกฉันนาฬิกาปลุกทั้งหมด,show_alarms
ปิดนาฬิกาปลุกทั้งหมด,cancel_alarm
ตั้งนาฬิกาปลุกทุกๆ 15 นาทีสำหรับ 1 ชั่วโมง,set_alarm
เมื่อไหร่นาฬิกาปลุกของฉันจะดัง,show_alarms
ตั้งนาฬิกาปลุกฉันสำหรับ 9 โมงเช้า,set_alarm
ตั้งนาฬิกาปลุก,set_alarm
ตั้งนาฬิกาปลุกสำหรับบ่าย 4:30,set_alarm
ตั้งนาฬิกาปลุกสำหรับบ่าย 5 โมง,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับตี 5,cancel_alarm
แสดงนาฬิกาปลุกให้ฉันดูหน่อย,show_alarms
ตั้งนาฬิกาปลุกสำหรับ 9 โมงเช้าพรุ่งนี้,set_alarm
ยกเลิกนาฬิกาปลุกฉันสำหรับพรุ่งนี้เช้า,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับพรุ่งนี้เช้าตี 5:30,set_alarm
ตั้งนาฬิกาปลุกเพื่อโทรหา Christie Sheldon 9:55 คืนนี้,set_alarm
นาฬิกาปลุกฉันตั้งไว้กี่โมง,show_alarms
ตั้งนาฬิกาปลุกสำหรับ 6 ชั่วโมงจากนี้,set_alarm
นาฬิกาปลุกฉันสำหรับเที่ยง,set_alarm
ตั้งนาฬิกาปลุกสำหรับพรุ่งนี้เช้าตี 4,set_alarm
หยุดนาฬิกาปลุก,cancel_alarm
ตั้งนาฬิกาปลุกครั้งที่สองสำหรับ 8 โมง,set_alarm
ฉันมีเวลากี่ชั่วโมงกว่านาฬิกาปลุกถัดไปจะดัง?,time_left_on_alarm
ตั้งนาฬิกาปลุกสำหรับบ่ายพรุ่งนี้,set_alarm
ตั้งนาฬิกาปลุกของฉันสำหรับบ่ายวันนี้,set_alarm
กรุณาแสดงนาฬิกาปลุกของฉันทั้งหมดให้ฉันดู,show_alarms
แสดงนาฬิกาปลุกสำหรับวันอาทิตย์บ่าย 2:45,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับวันจันทร์,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับวันพุธที่ 15 ตอนเที่ยงวัน,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 6 โมงเช้า,set_alarm
นาฬิกาปลุกของฉันคืออะไร,show_alarms
ตั้งนาฬิกาปลุกทุกๆวันจันทร์ตอนตี 4,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 3 ทุ่ม,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 11 โมงเช้าสุดสัปดาห์,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 1 ทุ่มพรุ่งนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับเที่ยงคืนคืนนี้,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับตี 4,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับทุกๆ 30 นาที,set_alarm
นาฬิกาปลุกสำหรับตี 5,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 5 นาที,set_alarm
ตั้งนาฬิกาปลุกสำหรับตี 5 วันจันทร์ถึงวันศุกร์,set_alarm
ยกเลิกนาฬิกาปลุกบ่าย 4 โมงพรุ่งนี้,cancel_alarm
ปิดนาฬิกาปลุก,cancel_alarm
กรุณาตั้งนาฬิกาปลุกสำหรับวันจันทร์ถึงวันศุกร์เช้า 6:30,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 6 โมงเช้าวันนี้,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับพรุ่งนี้ 8โมงเช้า,cancel_alarm
แสดงเวลาที่เหลือจนกว่าจะถึงนาฬิกาปลุกถัดไป,time_left_on_alarm
เวลาที่เหลืออยู่ในนาฬิกาปลุก?,time_left_on_alarm
ตั้งนาฬิกาปลุกสำหรับหกโมงเช้าพรุ่งนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับพรุ่งนี้ 11 โมงเช้า,set_alarm
ยกเลิกนาฬิกาปลุกนี้,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับ 5 นาที,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 20 นาทีจากนี้,set_alarm
ยกเลิกนาฬิกาปลุกตอนเช้าทั้งหมดของฉัน,cancel_alarm
นาฬิกาปลุกฉันตั้งไว้ก่อน 10 โมงเช้าวันอาทิตย์หรือไม่?,show_alarms
ตั้งนาฬิกาปลุกสำหรับ 3 นาที,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 8 โมงเช้าทุกๆวันสำหรับอาทิตย์นี้,set_alarm
คุณช่วยตั้งนาฬิกาปลุกสำหรับตอนเช้า 7:30,set_alarm
คุณช่วยบอกฉันเวลาที่เหลือบนนาฬิกาปลุกหน่อย?,time_left_on_alarm
ตั้งนาฬิกาปลุกสำหรับ 1 ชั่วโมง,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 6 โมงเย็นวันพฤหัสบดี,set_alarm
เปลี่ยนการเตือนนาฬิกาปลุก,modify_alarm
กรุณาตั้งนาฬิกาปลุกสำหรับพรุ่งนี้ 10 โมงเช้า,set_alarm
นาฬิกาปลุกถัดไปตั้งไว้กี่โมง,show_alarms
ตั้งนาฬิกาปลุกฉันสำหรับสองทุ่ม,set_alarm
แสดงนาฬิกาปลุกทั้งหมดในโทรศัพท์ฉัน,show_alarms
ตั้งนาฬิกาปลุกสำหรับพรุ่งนี้,set_alarm
เลื่อนนาฬิกาปลุก,snooze_alarm
ตั้งนาฬิกาปลุกฉันสำหรับ 6 โมงเย็นวันพุธ,set_alarm
ตั้งนาฬิกาปลุกฉันสำหรับสองทุ่ม,set_alarm
ตั้งนาฬิกาปลุกสำหรับทุกๆวันอังคารตอนเที่ยง,set_alarm
ตั้งนาฬิกาปลุกทุกๆ 30 นาที,set_alarm
ฉันอยากให้นาฬิกาปลุกตั้งไว้สำหรับ 8 โมงเช้า,set_alarm
ตั้งนาฬิกาปลุกสองเครื่องสำหรับพรุ่งนี้เช้า,set_alarm
ยกเลิกนาฬิกาปลุกทั้งหมด,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับทุกๆ 22 นาที,set_alarm
ตั้งนาฬิกาปลุกสำหรับเช้าตี 4:30 วันพรุ่งนี้,set_alarm
ยกเลิกนาฬิกาปลุก,cancel_alarm
ลบนาฬิกาปลุกทั้งหมด,cancel_alarm
มีนาฬิกาปลุกกี่เครื่องที่ฉันตั้งไว้?,show_alarms
ยกเลิกนาฬิกาปลุกถัดไป,cancel_alarm
กรุณาตั้งนาฬิกาปลุกสำหรับ 6 โมงเย็น,set_alarm
ยกเลิกนาฬิกาปลุกฉันทั้งหมด,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับวันพรุ่งนี้ 7 โมงเช้า,set_alarm
ฉันต้องการยกเลิกนาฬิกาปลุกของฉันสำหรับวันพรุ่งนี้บ่าย 3 โมง,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับตอนเย็น 6:50,set_alarm
แสดงนาฬิกาปลุกสำหรับเดือนหน้าให้ฉันหน่อย,show_alarms
ยกเลิกนาฬิกาปลุกทั้งหมด,cancel_alarm
มีเวลากี่นาทีกว่าจะถึงนาฬิกาปลุกดัง,time_left_on_alarm
มีเวลาเหลือเท่าไหร่กว่าจะถึงนาฬิกาปลุกของฉัน,time_left_on_alarm
กรุณาตั้งนาฬิกาปลุกทุกๆ 5 นาทีสำหรับ 20 นาที,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับวันสุดสัปดาห์,cancel_alarm
แสดงนาฬิกาปลุกของฉัน,show_alarms
ฉันต้องการให้คุณเพิ่มนาฬิกาปลุกสำหรับตอนเช้า 8:30,set_alarm
ตั้งนาฬิกาปลุกสำหรับทุกๆ 20 นาที,set_alarm
ยกเลิกนาฬิกาปลุกวันอังคาร,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับ 6 โมงเช้าทุกวัน,set_alarm
ตั้งนาฬิกาปลุกสำหรับเช้า 6:10,set_alarm
ลบนาฬิกาปลุกทั้งหมดโดยเพิ่มทีละ 3 นาที,cancel_alarm
เลื่อนนาฬิกาปลุกสำหรับ 2 นาที,snooze_alarm
ตั้งนาฬิกาปลุกทุกๆ 30 นาทีสำหรับ 2 ชั่วโมง,set_alarm
เป็นนาฬิกาปลุกทั้งหมดที่ตั้งไว้สำหรับสัปดาห์,show_alarms
ตั้งนาฬิกาปลุกสำหรับ 6 โมงเช้า,set_alarm
ยกเลิกนาฬิกาปลุกทั้งหมด,cancel_alarm
ยกเลิกนาฬิกาปลุกสำหรับวันพรุ่งนี้,cancel_alarm
กรุณาเลื่อนนาฬิกาปลุกไปอีก 10 นาที,snooze_alarm
ตั้งนาฬิกาปลุกสำหรับพรุ่งนี้เช้า 9:30,set_alarm
แสดงนาฬิกาปลุกทั้งหมดของฉันสำหรับวันพรุ่งนี้หน่อย,show_alarms
ลบนาฬิกาปลุกทั้งหมด,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับ 1 ชั่วโมง 10 นาที,set_alarm
เลื่อนนาฬิกาปลุกสำหรับ 10 นาที,snooze_alarm
ตั้งนาฬิกาปลุกสำหรับตอนเช้า 9:45,set_alarm
กรุณาตั้งนาฬิกาปลุกบนเครื่องจับเวลา,set_alarm
ตั้งนาฬิกาปลุกทุกๆ 30 นาที,set_alarm
ยกเลิกนาฬิกาปลุกฉันสำหรับวันพรุ่งนี้เช้า,cancel_alarm
เวลาเหลือนาฬิกาปลุก,time_left_on_alarm
ตั้งนาฬิกาปลุกสำหรับคืนนี้หนึ่งทุ่ม,set_alarm
ตั้งนาฬิกาปลุกทุกๆ 4 ชั่วโมงสำหรับ 24 ชั่วโมง,set_alarm
ตั้งนาฬิกาปลุกสำหรับตอนเช้ามืด 4:15,set_alarm
ตั้งนาฬิกาปลุกสำหรับตอนเช้า 6:35,set_alarm
ซ้ำนาฬิกาปลุกสำหรับวันพรุ่งนี้,modify_alarm
ตั้งนาฬิกาปลุกสำหรับทุกๆชั่วโมง,set_alarm
ปิดนาฬิกาปลุกสำหรับวันพรุ่งนี้,cancel_alarm
ตั้งนาฬิกาปลุกเป็นเวลา 5 วันนับจากวันนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับบ่าย 4:30,set_alarm
กรุณาตั้งนาฬิกาปลุกสำหรับ 6 โมงเช้าวันนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 15 นาทีจากนี้,set_alarm
มีการตั้งนาฬิกาปลุกใดไว้?,show_alarms
ตั้งนาฬิกาปลุกสำหรับทุกๆ 10 นาที,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 30 นาทีจากนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 80 นาทีจากนี้,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับพรุ่งนี้เช้า,cancel_alarm
แสดงนาฬิกาปลุกทั้งหมด,show_alarms
ฉันมีนาฬิกาปลุกอะไรบ้างสำหรับคืนนี้?,show_alarms
ยกเลิกนาฬิกาปลุกทั้งหมดสำหรับวันนี้,cancel_alarm
เปิดนาฬิกาปลุก,set_alarm
ยกเลิกนาฬิกาปลุก,cancel_alarm
นาฬิกาปลุกชุดแรกของฉันตั้งไว้กี่โมง?,show_alarms
เลื่อนนาฬิกาปลุกฉัน,snooze_alarm
ตั้งนาฬิกาปลุกเช้าตี 2 วันนี้,set_alarm
ฉันมีนาฬิกาปลุกกี่เครื่อง,show_alarms
กรุณาแสดงนาฬิกาปลุกทั้งหมด,show_alarms
ตั้งนาฬิกาปลุกสำหรับ 5 นาที,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 10 โมงพรุ่งนี้เช้า,set_alarm
ปิดนาฬิกาปลุกทั้งหมด,cancel_alarm
เริ่มนาฬิกาปลุก,set_alarm
ตั้งนาฬิกาปลุกฉันเช้าตี 5 วันพฤหัสบดี,set_alarm
ตั้งนาฬิกาปลุกสำหรับภายหลังวันนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 8 โมงพรุ่งนี้เช้า,set_alarm
ตั้งนาฬิกาปลุกใหม่,cancel_alarm
นาฬิกาปลุกฉันตั้งไว้กี่โมง?,show_alarms
ตั้งนาฬิกาปลุกฉันใหม่สำหรับสัปดาห์หน้า,cancel_alarm
ยกเลิกนาฬิกาปลุกทั้งหมด,cancel_alarm
ยกเลิกนาฬิกาปลุกทั้งหมด,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับบ่ายโมงพรุ่งนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 1 ชั่วโมง,set_alarm
เอานาฬิกาปลุกทั้งหมดให้ฉัน,show_alarms
มีเวลาเหลือเท่าไหร่กว่าจะถึงนาฬิกาปลุกจะดัง?,time_left_on_alarm
มีเวลาเหลือเท่าไหร่กว่านาฬิกาปลุกไปนอนจะดัง?,time_left_on_alarm
ยกเลิกนาฬิกาปลุกทั้งสอง,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับ 1 ชั่วโมงจากนี้,set_alarm
คุณสามารถแสดงนาฬิกาปลุกให้ฉันได้หรือไม่?,show_alarms
ตั้งนาฬิกาปลุกสำหรับ 10 โมงเช้า,set_alarm
ยกเลิกนาฬิกาปลุกทั้งหมดวันพรุ่งนี้,cancel_alarm
เลื่อนนาฬิกาปลุกของฉันเป็นเวลาห้านาที,snooze_alarm
ตั้งนาฬิกาปลุกวันอาทิตย์เป็นเวลา 5 นาที,set_alarm
ตั้งนาฬิกาปลุกสำหรับตี 5:01,set_alarm
ยกเลิกการตั้งค่าการปลุกนาฬิกาปลุกของฉัน,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับบ่าย,set_alarm
บอกฉันเมื่อไหร่มีการตั้งนาฬิกาปลุกทั้งหมด?,show_alarms
ฉันจะตั้งนาฬิกาปลุกกี่โมง?,show_alarms
ปลุกฉันตอน 7 โมง,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 6 โมงเย็น,set_alarm
ลบนาฬิกาปลุกตอนบ่าย 4 โมง,cancel_alarm
ตั้งนาฬิกาปลุกใหม่สำหรับคืนนี้ 5 โมงเย็น,set_alarm
เหลือเวลาอีกเท่าไหร่บนนาฬิกาปลุก,time_left_on_alarm
ลบนาฬิกาปลุกสำหรับ20นาที,cancel_alarm
ปิดนาฬิกาปลุกได้มั้ย,cancel_alarm
ลบนาฬิกาปลุกสำหรับ5โมงเย็น,cancel_alarm
ตั้งนาฬิกาปลุกทุกๆ 4 ชั่วโมง,set_alarm
ตั้งนาฬิกาปลุกสำหรับทุกๆ10นาที,set_alarm
ตั้งนาฬิกาปลุกตอน10โมงเช้า,set_alarm
ตั้งนาฬิกาปลุกทุกๆ15นาทีสำหรับหนึ่งชั่วโมง,set_alarm
นาฬิกาปลุกที่ตั้งไว้สำหรับพรุ่งนี้กี่โมง,show_alarms
ฉันตั้งนาฬิกาปลุกไว้กี่อัน,show_alarms
ลบนาฬิกาปลุกที่ตั้งไว้สำหรับ7โมงเช้า,cancel_alarm
โปรดปิดเสียงชั่วคราวนาฬิกาปลุก,snooze_alarm
ตั้งนาฬิกาปลุกสำหรับตี5พรุ่งนี้,set_alarm
เปลี่ยนาฬิกาปลุกเป็นตี5สำหรับพรุ่งนี้,modify_alarm
ตั้งนาฬิกาปลุก สำหรับ 5:45 น. ในวันพรุ่งนี้,set_alarm
ปิดนาฬิกาปลุกสำหรับ4ทุ่มคืนนี้,cancel_alarm
ตั้งนาฬิกาปลุก20นาทีก่อน5,set_alarm
ลบนาฬิกาปลุกทั้งหมดของฉัน,cancel_alarm
แสดงนาฬิกาปลุกทุกให้ฉันดู,show_alarms
เปิดนาฬิกาปลุกของฉัน,set_alarm
ยกเลิกนาฬิกาปลุกอันที่แล้ว,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับตี5,set_alarm
ตั้งนาฬิกาปลุกสำหรับ6โมงเช้า,set_alarm
ตั้งนาฬิกาปลุกสำหรับ8โมงเช้าวันอาทิตย์,set_alarm
ตั้งปลุกทุกๆ 5 นาทีเป็นเวลา 15 นาที,set_alarm
ให้นาฬิกาปลุกอีก15นาที,set_alarm
เปลี่ยนนาฬิกาปลุกเป็น8โมงเช้าพรุ่งนี้,modify_alarm
ฉันต้องการรู้ฉันตั้งนาฬิกาปลุกอะไรไว้,show_alarms
คุณจะตั้งนาฬิกาปลุกสำหรับ7โมงเช้าได้มั้ย,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับ8โมงเช้า,cancel_alarm
ยกเลิกนาฬิกาปลุกของฉัน,cancel_alarm
ยกเลิกนาฬิกาปลุก,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับตี5คืนนี้,set_alarm
ตั้งนาฬิกาปลุกประจำวันตอน 1ทุ่ม,set_alarm
ยกเลิกนาฬิกาปลุก,cancel_alarm
ยกเลิกนาฬิกาปลุกของฉันสำหรับพรุ่งนี้ตอนเช้า,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับ6โมงเช้าวันอังคาร,set_alarm
ตั้งนาฬิกาปลุกสำหรับ35นาที,set_alarm
ยกเลิกนาฬิกาปลุกของฉัน,cancel_alarm
ยกเลิกนาฬิกาปลุก9โมงเช้า,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับทุกๆ3ชั่วโมง,set_alarm
โปรดแสดงนาฬิกาปลุกทั้งหมดสำหรับวันนี้,show_alarms
ตั้งนาฬิกาปลุกของฉันให้ดังขึ้นทุกๆ2นาที,set_alarm
สร้างนาฬิกาปลุกสำหรับ20นาทีจากนี้,set_alarm
ตั้งนาฬิกาปลุกถึงเที่ยงคืน,set_alarm
ตั้งนาฬิกาปลุกทุกๆชั่วโมงทุกวัน,set_alarm
แสดงนาฬิกาปลุกสองอันแรกของฉัน,show_alarms
แสดงนาฬิกาปลุกสำหรับวันอังคาร,show_alarms
ตั้งนาฬิกาปลุก สำหรับ6 นาฬิกา,set_alarm
ปิดเสียงชั่วคราวนาฬิกาปลุกซัก 10 นาที,snooze_alarm
ฉันต้องการตั้งนาฬิกาปลุก,set_alarm
ตั้งนาฬิกาปลุกสำหรับ หนึ่งทุ่มคืนนี้,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับ หนึ่งทุ่มคืนนี้,cancel_alarm
ได้โปรดแสดงนาฬิกาปลุกทั้งหมด,show_alarms
ตั้งนาฬิกาปลุกสำหรับวันพรุ่งนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 10 โมงเช้าในวันพรุ่งนี้,set_alarm
ตั้งนาฬิกาปลุก 6โมง เช้าวันพรุ่งนี้,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับวันศุกร์,cancel_alarm
ตั้งนาฬิกาปลุก 8:30 น. เพื่อนำอาหารออก,set_alarm
ฉันตั้งนาฬิกาปลุกไว้กี่อันสำหรับสัปดาห์นี้?,show_alarms
ฉันมีเวลาเหลืออีกนานเท่าไหร่บนนาฬิกาปลุก,time_left_on_alarm
ตั้งนาฬิกาปลุก,set_alarm
โปรดแสดงนาฬิกาปลุกทั้งหมด,show_alarms
ลบนาฬิกาปลุกที่ยันทึกไว้,cancel_alarm
ฉันมีเวลาเหลืออีกนานเท่าไหรก่อนที่นาฬิกาปลุกจะดังขึ้น,time_left_on_alarm
เหลือเวลาอีกเท่าไหร่บนนาฬิกาปลุก,time_left_on_alarm
นาฬิกาปลุกอันถัดไปตั้งไว้สำหรับกี่โมง,show_alarms
ยกเลิกนาฬิกาปลุกที่เชื่อมต่อกับการแจ้งเตือนของยา,cancel_alarm
ปิดเสียงนาฬิกาปลุกชั่วคราวสำหรับ15นาที,snooze_alarm
ตั้งนาฬิกาปลุกสำหรับ7โมงเช้าพรุ่งนี้,set_alarm
ปิดนาฬิกาปลุก,cancel_alarm
ตั้งนาฬิหาปลุกสำหรับตี3พรุ่งนี้,set_alarm
นาฬิกาปลุก 1 นาที,set_alarm
ยกเลิกนาฬิกาปลุกทั้งหมด,cancel_alarm
ตั้งนาฬิกาปลุกไว้กี่โมงพรุ่งนี้,show_alarms
ตั้งนาฬิกาปลุกวันอาทิตย์เวลา 8.00 น,set_alarm
ลบการเตือนภัยทั้งหมด,cancel_alarm
ตั้งนาฬิกาปลุกมื้อเย็นสำหรับ1ชั่วโมง,set_alarm
ตั้งนาฬิกาปลุกสำหรับบ่ายสามโมง,set_alarm
เหลือเวลาอีกเท่าไหร่บนนาฬิกาปลุก,time_left_on_alarm
ตั้งนาฬิกาปลุกในคืนวันศุกร์,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับวันพฤหัสบดี,cancel_alarm
ลบนาฬิกาปลุกของฉัน,cancel_alarm
ฉันตั้งนาฬิกาปลุกหรือไม่?,show_alarms
ปิดนาฬิกาปลุก,cancel_alarm
ตั้งนาฬิกาปลุกประมาณ 6 โมงเย็นในวันพรุ่งนี้,set_alarm
ตั้งนาฬิกาปลุกในเวลา 6 นาที,set_alarm
ปิดเสียงนาฬิกาปลุกของฉัน,cancel_alarm
ตั้งนาฬิกาปลุกประมาณ 5 โมงเย็น,set_alarm
ได้โปรดตั้งนาฬิกาปลุกสำหรับ8โมงเช้าพรุ่งนี้,set_alarm
ยกเลิกนาฬิกาปลุก,cancel_alarm
ตั้งนาฬิกาปลุกเป็นเวลาหนึ่งชั่วโมง,set_alarm
ตั้งนาฬิกาปลุกเป็นเวลา 6:25 น,set_alarm
ตั้งนาฬิกาปลุกสำหรับสองทุ่มคืนนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับวันที่23,set_alarm
คุณสามารถตั้งนาฬิกาปลุกให้ฉันสำหรับ 4:30 น. ในวันพรุ่งนี้ได้มั้ย?,set_alarm
ตั้งนาฬิกาปลุก 6 โมงเช้า,set_alarm
ตั้งนาฬิกาปลุกสำหรับวันพรุ่งนี้เวลา 11.00 น,set_alarm
ตั้งนาฬิกาปลุกทุกๆ 30 วินาที,set_alarm
ตั้งนาฬิกาปลุกสำหรับ ตี5,set_alarm
ยกเลิกนาฬิกาปลุกเวลา 5:45 น,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับ7โมงเช้า,set_alarm
ตั้งนาฬิกาปลุก 2:30 น,set_alarm
ปิดนาฬิกาปลุก,cancel_alarm
ตั้งนาฬิกาปลุกเป็นเวลา 10 นาที,set_alarm
เปิดนาฬิกาปลุก 4:30,set_alarm
ตั้งนาฬิกาปลุกเป็นเวลา 43 นาทีจากนี้,set_alarm
ปิดนาฬิกาปลุกทั้งหมดของฉันในวันนี้,cancel_alarm
ตั้งนาฬิกาปลุกครั้งต่อไปกี่โมง,show_alarms
ตั้งนาฬิกาปลุกเป็นเวลา 6 โมงเช้า,set_alarm
ลบนาฬิกาปลุกล่าสุด,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับ6โมงเช้าพรุ่งนี้,set_alarm
ยกเลิกนาฬิกาปลุกนี้,cancel_alarm
นาฬิกาปลุกทุกนาทีเป็นเวลา 30 นาที,set_alarm
นาฬิกาปลุกทุก 30 นาทีต่อไปอีก 4 ชั่วโมง,set_alarm
ปลุกฉันใหม่ใน 4 ชั่วโมง,set_alarm
ฉันตั้งนาฬิกาปลุกไว้กี่อัน,show_alarms
ตั้งนาฬิกาปลุกนาฬิกาปลุกสำหรับสัปดาห์หน้าวันเสาร์เวลา 5 โมงเช้า,set_alarm
ตั้งนาฬิกาปลุกนาฬิกาปลุกอะไรไว้,show_alarms
ตั้งนาฬิกาปลุกนาฬิกาปลุกทุกๆ 25 นาที,set_alarm
ตั้งนาฬิกาปลุกสำหรับ6โมง30นาทีสำหรับวันธรรมดา,set_alarm
แสดงนาฬิกาปลุก,show_alarms
หยุดนาฬิกาปลุก,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับตี5,set_alarm
ยกเลิกนาฬิกาปลุกของฉันตอนตี5,cancel_alarm
นาฬิกาปลุกวันจันทร์ 6 โมงเย็น,set_alarm
เวลาเหลืออีกเท่าไหร่บนนาฬิกาปลุก,time_left_on_alarm
รีเซ็ตนาฬิกาปลุก,cancel_alarm
หยุดนาฬิกาปลุก,cancel_alarm
ยกเลิกนาฬิกาปลุกทั้งหมดจนถึงวันศุกร์,cancel_alarm
ตั้งนาฬิกาปลุกสั่นนาฬิกาปลุกเป็นเวลา 4 โมงเช้า ,set_alarm
ลบนาฬิกาปลุกเป็นเวลา 8.00 น,cancel_alarm
นาฬิกาปลุกตั้งสำหรับ7โมงเช้า,set_alarm
นาฬิกาปลุกเป็นเวลา 6:00 น.,set_alarm
ยกเลิกนาฬิกาสองอันแรก,cancel_alarm
นาฬิกาปลุก 5 โมงเย็นนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 5 โมงเย็น,set_alarm
ตั้งนาฬิกาปลุกทุกๆ 25 นาที,set_alarm
ปิดนาฬิกาปลุก,cancel_alarm
ยกเลิกนาฬิกาปลุกทั้งหมด,cancel_alarm
ยกเลิกนาฬิกาปลุกตอนเช้า,cancel_alarm
ตั้งนาฬิกาปลุกค่านาฬิกาปลุก 5 ครั้งในช่วงเวลา 5 นาที,set_alarm
ตั้งนาฬิกาปลุกไว้ 4 ชั่วโมง,set_alarm
ฉันต้องการนาฬิกาปลุกตั้งไว้ 35 นาที,set_alarm
ตั้งนาฬิกาปลุกพรุ่งนี้เช้าตอนตี 4:30 แล้วก็ตอนตี 5:30,set_alarm
แสดงนาฬิกาปลุกพรุ่งนี้ทั้งหมดของฉันให้ฉันดูหน่อย,show_alarms
ฉันเหลือเวลาในนาฬิกาปลุกแค่ไหน,time_left_on_alarm
ตั้งนาฬิกาปลุกวันจันทร์เช้าตอนตี 3,set_alarm
นาฬิกาปลุก 4 โมงเย็นคืนนี้,set_alarm
ตั้งนาฬิกาปลุกสำหรับตี5,set_alarm
สร้างนาฬิกาปลุก,set_alarm
ลบนาฬิกาปลุกทั้งหมด,cancel_alarm
เลื่อนนาฬิกาปลุก 6 โมงเช้า,snooze_alarm
ตั้งนาฬิกาปลุกพรุ่งนี้เช้าตอนตี 4,set_alarm
แสดงนาฬิกาปลุกทั้งหมดที่ฉันตั้งไว้อาทิตย์หน้าให้ดูหน่อย,show_alarms
ยกเลิกนาฬิกาปลุกทั้งหมด,cancel_alarm
